mπ,mK,mη,fπ,fK,fη,fϕ,mN,mL,mS,mX
296.61669872,464.23947997,503.74598278,102.06677326,111.82677389,116.0163675,109.96997155,1060.34809394,1146.01803881,1187.99673425,1252.64604714
297.61669872,463.99573042,503.31257352,102.13685487,111.83205308,115.98894975,109.98595257,1061.20726379,1146.32593903,1188.0346689,1252.26814209
298.61669872,463.75076034,502.87676481,102.20692747,111.83719266,115.96137606,110.00183206,1062.06835525,1146.6337694,1188.07154129,1251.88767829
299.61669872,463.50456483,502.43854324,102.27698987,111.84219131,115.93364563,110.01760894,1062.93136562,1146.94152477,1188.10734535,1251.50464765
300.61669872,463.25713899,501.9978953,102.34704086,111.8470477,115.90575766,110.03328207,1063.79629215,1147.24919997,1188.142075,1251.11904211
301.61669872,463.00847783,501.55480733,102.41707923,111.85176049,115.87771136,110.04885036,1064.66313203,1147.55678978,1188.17572409,1250.73085355
302.61669872,462.75857638,501.10926556,102.48710379,111.85632834,115.84950591,110.06431268,1065.53188242,1147.86428897,1188.20828646,1250.34007384
303.61669872,462.50742958,500.66125608,102.55711332,111.8607499,115.8211405,110.07966791,1066.4025404,1148.17169224,1188.23975588,1249.94669484
304.61669872,462.25503237,500.21076486,102.62710662,111.86502381,115.79261431,110.09491491,1067.27510302,1148.47899429,1188.27012609,1249.55070837
305.61669872,462.00137963,499.75777773,102.69708248,111.86914869,115.76392651,110.11005256,1068.14956727,1148.78618974,1188.2993908,1249.15210623
306.61669872,461.7464662,499.30228038,102.76703968,111.87312318,115.73507627,110.12507971,1069.02593006,1149.09327321,1188.32754365,1248.7508802
307.61669872,461.49028688,498.84425838,102.836977,111.87694588,115.70606274,110.13999521,1069.90418829,1149.40023926,1188.35457825,1248.34702203
308.61669872,461.23283644,498.38369717,102.90689324,111.8806154,115.67688509,110.15479791,1070.78433875,1149.70708241,1188.38048817,1247.94052346
309.61669872,460.97410961,497.92058203,102.97678716,111.88413033,115.64754245,110.16948665,1071.66637821,1150.01379714,1188.40526693,1247.53137618
310.61669872,460.71410106,497.4548981,103.04665755,111.88748926,115.61803398,110.18406026,1072.55030336,1150.32037791,1188.42890799,1247.11957188
311.61669872,460.45280544,496.98663042,103.11650319,111.89069077,115.58835879,110.19851758,1073.43611084,1150.6268191,1188.45140477,1246.70510219
312.61669872,460.19021734,496.51576384,103.18632284,111.89373341,115.55851603,110.21285743,1074.32379722,1150.93311508,1188.47275064,1246.28795876
313.61669872,459.92633132,496.04228309,103.25611529,111.89661576,115.52850482,110.22707862,1075.21335901,1151.23926015,1188.49293894,1245.86813317
314.61669872,459.66114189,495.56617275,103.32587929,111.89933635,115.49832426,110.24117996,1076.10479265,1151.54524859,1188.51196292,1245.44561699
315.61669872,459.39464351,495.08741725,103.39561361,111.90189372,115.46797346,110.25516026,1076.99809454,1151.85107462,1188.52981582,1245.02040176
316.61669872,459.12683061,494.60600089,103.46531701,111.90428641,115.43745153,110.26901832,1077.89326098,1152.15673241,1188.54649081,1244.59247898
317.61669872,458.85769758,494.12190779,103.53498827,111.90651293,115.40675756,110.28275292,1078.79028822,1152.46221609,1188.56198099,1244.16184015
318.61669872,458.58723874,493.63512195,103.60462613,111.90857178,115.37589063,110.29636285,1079.68917244,1152.76751975,1188.57627943,1243.7284767
319.61669872,458.31544838,493.14562718,103.67422935,111.91046147,115.34484983,110.30984689,1080.58990975,1153.07263742,1188.58937914,1243.29238006
320.61669872,458.04232075,492.65340717,103.74379669,111.91218049,115.31363423,110.3232038,1081.4924962,1153.37756308,1188.60127307,1242.85354161
321.61669872,457.76785004,492.15844543,103.81332689,111.9137273,115.28224289,110.33643236,1082.39692776,1153.68229067,1188.61195412,1242.41195271
322.61669872,457.4920304,491.66072533,103.88281871,111.91510038,115.25067487,110.34953132,1083.30320031,1153.98681406,1188.62141513,1241.96760467
323.61669872,457.21485594,491.16023005,103.95227089,111.91629818,115.21892922,110.36249943,1084.21130969,1154.2911271,1188.62964888,1241.52048879
324.61669872,456.9363207,490.65694265,104.02168216,111.91731915,115.18700499,110.37533543,1085.12125165,1154.59522355,1188.63664808,1241.07059632
325.61669872,456.6564187,490.15084599,104.09105128,111.91816171,115.1549012,110.38803807,1086.03302185,1154.89909714,1188.64240541,1240.61791848
326.61669872,456.37514388,489.64192277,104.16037697,111.9188243,115.1226169,110.40060606,1086.94661591,1155.20274155,1188.64691345,1240.16244644
327.61669872,456.09249015,489.13015554,104.22965798,111.91930532,115.09015109,110.41303813,1087.86202933,1155.50615038,1188.65016476,1239.70417137
328.61669872,455.80845137,488.61552667,104.29889302,111.91960317,115.0575028,110.425333,1088.77925756,1155.8093172,1188.6521518,1239.24308436
329.61669872,455.52302135,488.09801834,104.36808083,111.91971625,115.02467102,110.43748937,1089.69829596,1156.1122355,1188.65286699,1238.77917649
330.61669872,455.23619383,487.57761258,104.43722014,111.91964292,114.99165476,110.44950594,1090.61913981,1156.41489873,1188.65230268,1238.3124388
331.61669872,454.94796252,487.05429124,104.50630966,111.91938156,114.958453,110.46138141,1091.54178432,1156.71730028,1188.65045115,1237.84286228
